Time,Position,Error,Speed,Voltage
0.006342,0,95,0,0,
0.020419,0,95,0,0,
0.051232,0,95,0,0,
0.083849,0,95,0,0,
0.109738,0,95,0,0,
0.148892,0,95,0,0,
0.170487,0,0,0,0.178886,
0.190555,0,6,0,0.465103,
0.226023,0,33,0,1.18065,
0.276722,0.00416667,72,0,2.01075,
0.315248,0.0166667,142,4.16667,3.20538,
0.344418,0.0409722,168,12.9167,3.67849,
0.361129,0.0618056,199,20,4.26989,
0.40774,0.11875,253,40,4.8172,
0.419222,0.11875,260,40,4.98143,
0.455904,0.201389,260,68.3333,4.98143,
0.480824,0.252083,247,85.8333,4.87195,
0.528195,0.425694,241,137.917,4.8172,
0.546171,0.489583,212,152.917,4.58729,
0.565253,0.55625,195,165.417,4.28074,
0.601455,0.624306,125,185,3.84282,
0.619353,0.690972,108,185,3.71144,
0.651168,0.827778,90,197.083,3.58358,
0.680778,0.895139,38,200.417,3.30792,
0.728013,1.09514,-28,202.917,2.72214,
0.746894,1.15972,-22,201.667,2.80254,
0.761269,1.15972,-35,200,2.74487,
0.792463,1.28125,-70,197.083,2.34604,
0.819241,1.33958,-90,193.333,2.26393,
0.857655,1.45764,-96,184.583,2.18182,
0.880559,1.51528,-113,180.833,2.08172,
0.91215,1.62708,-138,175,1.79785,
0.944807,1.73472,-157,170.833,1.6914,
0.961142,1.73472,-126,167.917,1.96344,
0.997944,1.83681,-141,164.583,1.83333,
1.01943,1.88542,-145,160.833,1.83333,
1.04451,1.98056,-148,153.333,1.76237,
1.07389,2.02639,-111,149.583,2.12903,
1.11153,2.11597,-109,142.5,2.15269,
1.14537,2.2,-102,136.25,2.17634,
1.15984,2.2,-98,136.25,2.24731,
1.19405,2.28194,-45,130.417,2.74409,
1.21627,2.32083,-36,127.917,2.7914,
1.25568,2.40139,-25,122.917,2.8739,
1.28013,2.44444,-20,121.667,2.90909,
1.31078,2.52639,28,121.667,3.33138,
1.34878,2.61389,32,123.75,3.36657,
1.38066,2.66042,30,125.833,3.27586,
1.41615,2.75486,59,131.667,3.50655,
1.45547,2.85625,46,139.167,3.33353,
1.48359,2.95833,33,145.833,3.28974,
1.51852,3.01042,54,148.75,3.47507,
1.54555,3.11528,43,152.917,3.3824,
1.56273,3.16875,30,154.583,3.26657,
1.60572,3.27361,8,157.083,3.09423,
1.63223,3.32708,33,157.917,3.25709,
1.676,3.43333,9,158.333,3.0477,
1.71525,3.53819,-12,158.75,2.93201,
1.74912,3.64306,6,157.917,3.06051,
1.77576,3.69722,-6,157.5,2.93201,
1.81785,3.80347,-31,158.333,2.76848,
1.84831,3.90694,-8,159.167,2.97947,
1.87743,3.95833,-22,158.333,2.86217,
1.91611,4.06181,-36,156.25,2.76833,
1.94464,4.16042,-9,153.75,2.97947,
1.97473,4.21042,-15,152.5,2.93255,
2.01602,4.30972,-29,150.417,2.80352,
2.04533,4.40625,-34,148.75,2.79179,
2.08283,4.50347,-6,147.083,2.99042,
2.10506,4.55208,-10,146.25,2.99042,
2.12563,4.60069,-17,145.417,2.93201,
2.15111,4.64931,-22,145.417,2.88529,
2.16406,4.69861,11,145.417,3.1306,
2.1846,4.74722,5,145.417,3.07219,
2.21977,4.79722,-7,146.25,2.97874,
2.24876,4.89514,-11,147.5,2.9437,
2.28413,4.99583,12,147.917,3.17732,
2.31117,5.04375,7,148.333,3.0826,
2.34058,5.09375,0,147.917,3.05934,
2.36742,5.19028,-6,147.083,2.97791,
2.39115,5.23889,27,146.667,3.23382,
2.41565,5.2875,18,146.25,3.17566,
2.44927,5.38472,11,145.833,3.1175,
2.47981,5.43403,5,145.833,3.09423,
2.51025,5.53264,33,146.25,3.33851,
2.53821,5.58333,21,146.667,3.23382,
2.56507,5.68542,12,148.75,3.12913,
2.591,5.73681,-2,149.583,3.01281,
2.6161,5.78819,25,150.833,3.23382,
2.6491,5.89306,8,153.333,3.09423,
2.67581,5.94514,-2,154.583,2.96706,
