Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
-3.8625, 1, -5, -116.667, -2.48387, 0.375
-3.90208, 1, 0, -116.667, -2.44839, 0.375
-3.94167, 1, 3, -116.25, -2.42473, 0.375
-3.98056, 1, 7, -116.667, -2.38925, 0.375
-4.01944, 1, -17, -116.667, -2.59032, 0.375
-4.05972, 1, -11, -117.083, -2.54301, 0.375
-4.09931, 1, -4, -117.5, -2.48387, 0.375
-4.14028, 1, -1, -117.917, -2.43656, 0.375
-4.18056, 1, 6, -118.75, -2.42473, 0.375
-4.22292, 1, -10, -119.583, -2.53118, 0.375
-4.26319, 1, -6, -120.417, -2.4957, 0.375
-4.30486, 1, 1, -121.667, -2.4585, 0.375
-4.34583, 1, 6, -122.5, -2.37537, 0.25
-4.3875, 1, 18, -122.917, -2.30411, 0.25
-4.42847, 1, 21, -123.333, -2.30411, 0.25
-4.46875, 1, -1, -123.333, -2.4585, 0.25
-4.50764, 1, 4, -122.917, -2.42287, 0.25
-4.54722, 1, 9, -122.083, -2.411, 0.375
-4.5875, 1, 13, -121.25, -2.31598, 0.375
-4.62778, 1, 20, -120.417, -2.28035, 0.25
-4.66736, 1, -4, -119.583, -2.51789, 0.25
-4.70625, 1, 0, -119.167, -2.48226, 0.25
-4.74583, 1, 7, -119.167, -2.39912, 0.375
-4.78611, 1, 12, -119.167, -2.35161, 0.375
-4.82431, 1, 14, -118.75, -2.33974, 0.25
-4.8625, 1, 17, -118.333, -2.31598, 0.25
-4.90208, 1, -6, -117.917, -2.50601, 0.375
-4.94097, 1, -1, -117.5, -2.4585, 0.375
-4.98056, 1, 3, -117.083, -2.43475, 0.375
-5.02014, 1, 9, -117.083, -2.37742, 0.25
-5.05972, 1, 11, -117.083, -2.37742, 0.375
-5.1, 1, -11, -117.5, -2.50753, 0.375
-5.13889, 1, -6, -117.917, -2.4957, 0.375
-5.17847, 1, -1, -118.333, -2.44839, 0.375
-5.21944, 1, 7, -118.75, -2.38925, 0.375
-5.26042, 1, 11, -119.167, -2.35376, 0.375
-5.30069, 1, 18, -119.583, -2.29462, 0.25
-5.34097, 1, -4, -120.417, -2.48387, 0.25
-5.38125, 1, 2, -120.833, -2.43656, 0.375
-5.42292, 1, 10, -121.25, -2.36559, 0.375
-5.46319, 1, 14, -121.667, -2.29462, 0.375
-5.50347, 1, 20, -121.667, -2.28035, 0.25
-5.54306, 1, -3, -121.25, -2.48226, 0.25
-5.58264, 1, 2, -121.25, -2.44663, 0.375
-5.62153, 1, 7, -120.417, -2.39912, 0.375
-5.66111, 1, 11, -120, -2.38724, 0.375
-5.7, 1, 15, -118.75, -2.32786, 0.375
-5.73958, 1, 19, -118.333, -2.2828, 0.375
-5.77917, 1, -5, -117.917, -2.50753, 0.375
-5.81736, 1, -1, -117.5, -2.44839, 0.375
-5.85625, 1, 4, -117.5, -2.4129, 0.25
-5.89583, 1, 6, -117.083, -2.37742, 0.25
-5.93542, 1, 12, -117.083, -2.36559, 0.375
-5.975, 1, -11, -117.083, -2.54301, 0.375
-6.01389, 1, -7, -117.5, -2.53118, 0.375
