Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
3.95972, 1, 51, 114.167, 2.90982, 1.5
3.99931, 1, 46, 114.167, 2.86232, 1.5
4.04028, 1, 38, 114.583, 2.77957, 1.5
4.08194, 1, 58, 115.833, 2.95699, 1.375
4.12292, 1, 55, 117.917, 2.93333, 1.25
4.16389, 1, 47, 119.583, 2.86237, 1.375
4.20417, 1, 36, 121.25, 2.76774, 1.25
4.24514, 1, 32, 122.083, 2.73226, 1.25
4.28542, 1, 27, 122.5, 2.69604, 1.25
4.325, 1, 53, 122.083, 2.9217, 1.25
4.36458, 1, 43, 121.667, 2.83856, 1.25
4.40556, 1, 40, 120.833, 2.81481, 1.25
4.44653, 1, 32, 120.417, 2.74355, 1
4.48611, 1, 26, 120.417, 2.68416, 1
4.52639, 1, 48, 120.417, 2.88607, 1
4.56736, 1, 45, 120.833, 2.85044, 1
4.60764, 1, 38, 120.833, 2.79106, 1
4.64722, 1, 33, 120.833, 2.74355, 1
4.68681, 1, 28, 120.833, 2.70792, 1
4.72569, 1, 23, 120, 2.66041, 1.25
4.76389, 1, 50, 119.583, 2.9217, 1.25
4.80069, 1, 49, 118.333, 2.88607, 1.25
4.83819, 1, 47, 117.083, 2.87419, 1.375
4.87708, 1, 43, 115.417, 2.83856, 1.5
4.91597, 1, 38, 114.583, 2.79106, 1.5
4.95486, 1, 62, 114.167, 3.00484, 1.5
4.99444, 1, 60, 114.583, 2.99296, 1.625
5.03611, 1, 51, 115.417, 2.90982, 1.5
5.07917, 1, 41, 117.5, 2.81481, 1.5
5.12153, 1, 31, 119.583, 2.73167, 1.375
5.16181, 1, 24, 121.667, 2.67229, 1.375
5.20278, 1, 50, 123.333, 2.86232, 1.25
5.24306, 1, 43, 124.167, 2.83856, 1.25
5.28264, 1, 37, 123.75, 2.77918, 1.25
5.32222, 1, 31, 122.917, 2.73167, 1.25
5.3625, 1, 25, 121.667, 2.67229, 1.25
5.40278, 1, 48, 120.417, 2.88607, 1.375
5.44306, 1, 44, 120, 2.85044, 1.25
5.48264, 1, 39, 120, 2.80293, 1.25
5.52292, 1, 32, 119.583, 2.74355, 1.25
5.56389, 1, 24, 120, 2.67229, 1.25
5.60417, 1, 17, 120.417, 2.60103, 1
5.64306, 1, 42, 120.417, 2.79106, 1
5.68194, 1, 41, 120.417, 2.83856, 1.25
5.72153, 1, 35, 120, 2.7673, 1.25
5.76111, 1, 31, 119.167, 2.73167, 1.25
5.79861, 1, 28, 118.333, 2.70792, 1.25
5.83611, 1, 55, 117.5, 2.96921, 1.375
5.87431, 1, 54, 116.25, 2.95733, 1.5
5.91389, 1, 48, 115.417, 2.88607, 1.5
5.95347, 1, 42, 115.417, 2.85044, 1.5
5.99375, 1, 36, 115.417, 2.77918, 1.5
6.03403, 1, 29, 116.25, 2.70792, 1.375
6.07569, 1, 50, 117.5, 2.89795, 1.375
6.11667, 1, 45, 119.167, 2.85044, 1.25
6.15625, 1, 40, 120.417, 2.81481, 1.25
6.19722, 1, 33, 121.25, 2.73226, 1.25
6.23681, 1, 26, 121.667, 2.67312, 1.25
6.27778, 1, 49, 121.667, 2.87419, 1.25
6.31597, 1, 47, 121.25, 2.86237, 1.25
6.35556, 1, 42, 120.417, 2.81505, 1.25
6.39583, 1, 35, 119.583, 2.75591, 1.25
6.43611, 1, 29, 119.167, 2.70792, 1.25
6.47639, 1, 23, 119.167, 2.66041, 1
6.51597, 1, 46, 119.167, 2.86232, 1.25
6.55694, 1, 43, 119.583, 2.86232, 1.25
6.59792, 1, 34, 120, 2.75543, 1.25
6.63819, 1, 27, 120.833, 2.66041, 1
6.67708, 1, 23, 120.833, 2.66041, 1
6.71667, 1, 46, 120.833, 2.86232, 1
6.75556, 1, 45, 120.417, 2.85044, 1.25
6.79375, 1, 41, 119.583, 2.83856, 1.25
6.83125, 1, 40, 118.333, 2.83856, 1.375
6.86944, 1, 36, 116.667, 2.77918, 1.375
6.90764, 1, 32, 115.417, 2.73226, 1.5
6.94653, 1, 60, 114.583, 3.0043, 1.5
6.98472, 1, 55, 114.583, 2.93333, 1.5
7.02569, 1, 48, 114.583, 2.87419, 1.5
7.06736, 1, 39, 115.833, 2.7914, 1.375
7.10903, 1, 32, 117.5, 2.73226, 1.375
7.14861, 1, 55, 119.167, 2.94545, 1.25
7.18819, 1, 52, 120.417, 2.9217, 1.25
7.22917, 1, 45, 121.25, 2.85044, 1.25
7.27014, 1, 37, 121.667, 2.77918, 1.375
7.30972, 1, 31, 121.667, 2.73167, 1.25
