Time,Position,Error,Speed,Voltage
0.008849,0,0,0,0.0981427,
0.038575,0,0,0,0,
0.056511,0,0,0,0,
0.076295,0,0,0,0,
0.096618,0,0,0,0,
0.117074,0,0,0,0,
0.14716,0,0,0,0,
0.17842,0,-1,0,-0.0615836,
0.196247,0,-2,0,-0.11085,
0.216206,0,-4,0,-0.209384,
0.236426,0,-8,0,-0.344868,
0.274707,0,-20,0,-0.86217,
0.311909,0,-40,0,-1.33021,
0.336603,-0.000694444,-52,0,-1.66178,
0.356595,-0.00416667,-66,-0.416667,-2.11388,
0.376707,-0.0131944,-77,-2.08333,-2.44379,
0.407751,-0.0284722,-89,-9.16667,-2.89589,
0.436763,-0.0416667,-99,-14.5833,-3.17693,
0.456941,-0.0569444,-99,-20.4167,-3.20538,
0.477128,-0.0770833,-118,-27.0833,-3.72581,
0.496421,-0.100694,-115,-34.5833,-3.77312,
0.516645,-0.128472,-109,-43.3333,-3.76129,
0.54752,-0.194444,-95,-64.5833,-3.70215,
0.576532,-0.232639,-99,-75.4167,-3.96237,
0.620997,-0.361806,-63,-107.083,-3.47742,
0.636808,-0.361806,-54,-107.083,-3.35914,
0.657442,-0.408333,-34,-115.833,-3.05161,
0.68508,-0.503472,-33,-130,-3.09892,
0.71363,-0.550694,-16,-135,-2.87322,
0.737041,-0.598611,3,-138.333,-2.53519,
0.757327,-0.645139,19,-140.417,-2.24545,
0.777242,-0.690278,31,-141.25,-2.02815,
0.803254,-0.779861,17,-140,-2.17302,
0.830783,-0.823611,34,-137.917,-1.98372,
0.85283,-0.864583,40,-135.833,-1.87419,
0.878173,-0.904861,49,-130.417,-1.71598,
0.896843,-0.946528,56,-130.417,-1.58211,
0.91608,-0.986806,32,-127.5,-2.02023,
0.942992,-1.06319,35,-122.917,-1.97947,
0.971136,-1.1,37,-120.417,-1.94282,
0.988766,-1.13681,37,-117.917,-1.94282,
1.0015,-1.17222,37,-115.833,-1.94282,
1.01648,-1.17222,7,-115.833,-2.49267,
1.03542,-1.20764,4,-112.917,-2.54154,
1.06674,-1.275,-1,-107.917,-2.61657,
1.09889,-1.35139,3,-105.417,-2.51921,
1.11841,-1.35139,4,-105.833,-2.53138,
1.13639,-1.38611,-25,-105.833,-3.05469,
1.1569,-1.42292,-24,-107.083,-3.04252,
1.17647,-1.45972,-23,-108.333,-2.99394,
1.20359,-1.53681,-17,-110.417,-2.88529,
1.22871,-1.57708,-11,-111.667,-2.77664,
1.25212,-1.61736,-33,-112.917,-3.17502,
1.26267,-1.65833,-29,-115,-3.10259,
1.27689,-1.65833,-24,-115,-3.01808,
1.29669,-1.7,-16,-117.5,-2.87322,
1.31637,-1.74167,-6,-119.583,-2.69213,
1.34736,-1.82708,-19,-123.333,-2.84907,
1.38031,-1.91042,-6,-125.833,-2.69213,
1.39678,-1.91042,-1,-125.833,-2.59555,
1.41715,-1.95278,8,-126.25,-2.44848,
1.43678,-1.99514,16,-126.25,-2.30303,
1.4582,-2.03542,-7,-125.833,-2.71515,
1.48691,-2.11528,3,-124.583,-2.54545,
1.51331,-2.15486,8,-123.333,-2.44848,
1.5374,-2.19444,13,-121.667,-2.37317,
1.55717,-2.23264,16,-120.417,-2.31232,
1.57677,-2.27153,-8,-119.167,-2.75044,
1.61151,-2.35,0,-117.5,-2.6044,
1.64516,-2.42778,6,-116.667,-2.49487,
1.65664,-2.42778,8,-116.667,-2.44848,
1.67621,-2.46736,-17,-116.667,-2.89697,
1.69726,-2.50556,-11,-116.667,-2.78788,
1.71623,-2.54514,-10,-117.083,-2.77576,
1.74184,-2.62361,-2,-117.083,-2.6303,
1.77722,-2.6625,5,-116.667,-2.50909,
1.79648,-2.70139,-19,-117.083,-2.93333,
1.81698,-2.74097,-12,-117.083,-2.81212,
1.83708,-2.78125,-8,-117.5,-2.73939,
1.85789,-2.86181,1,-118.333,-2.58182,
1.89622,-2.90139,-19,-119.167,-2.93333,
1.9171,-2.94167,-11,-119.583,-2.78788,
1.93681,-2.98333,-8,-120,-2.73939,
1.9577,-3.02361,-1,-120.417,-2.60606,
1.97676,-3.06319,3,-120.833,-2.54545,
2.00311,-3.14236,-16,-120.833,-2.88485,
2.04014,-3.22222,-8,-119.583,-2.72835,
2.05681,-3.22222,-5,-119.583,-2.66799,
2.07743,-3.26181,0,-119.167,-2.58348,
2.09709,-3.30139,7,-119.167,-2.46276,
2.11735,-3.34236,-15,-119.167,-2.84907,
2.14469,-3.42222,-10,-119.583,-2.70303,
2.17967,-3.50278,4,-120,-2.52121,
2.19568,-3.50278,7,-120,-2.47273,
2.21716,-3.54306,14,-120.417,-2.33939,
2.23658,-3.58333,-10,-120.417,-2.77576,
2.26515,-3.6625,-3,-120.417,-2.60606,
2.29211,-3.74097,6,-119.583,-2.48485,
2.32135,-3.78056,8,-118.75,-2.44848,
2.33638,-3.78056,-16,-118.75,-2.88485,
2.35584,-3.82014,-8,-118.333,-2.73939,
2.37613,-3.86111,-4,-118.333,-2.66667,
2.40309,-3.94097,5,-118.75,-2.50909,
2.42276,-3.98056,11,-119.583,-2.4,
2.45157,-4.02014,-13,-120,-2.82424,
2.47581,-4.05972,-8,-120,-2.73939,
2.49594,-4.09861,-4,-119.583,-2.66667,
2.51644,-4.13819,1,-118.75,-2.58182,
2.56208,-4.25625,-17,-117.917,-2.89697,
2.57871,-4.29722,-10,-117.917,-2.77576,
2.59643,-4.29722,-6,-117.917,-2.70303,
2.61631,-4.33889,3,-118.75,-2.54545,
2.63625,-4.37917,9,-119.583,-2.43636,
2.67209,-4.46042,-9,-121.25,-2.67879,
